Time,G8,G9,GA,GB,B1,B2,B3,lat,lon,gpsacc,imei,time
0,0,0,0,0,0,0,0,10.8808738,-1.0877499,33,8.62E+14,735926.4915
0,0,0,0,0,0,0,0,10.8808739,-1.0877499,39,8.62E+14,735926.4916
0,0,0,0,0,0,0,0,10.880874,-1.0877499,30,8.62E+14,735926.4917
0,0,0,0,0,0,0,0,10.8808741,-1.08775,22,8.62E+14,735926.4918
0,0,0,0,0,0,0,0,10.8808741,-1.08775,20,8.62E+14,735926.4919
0,0,0,0,0,0,0,0,10.8808742,-1.0877501,20,8.62E+14,735926.492
0,0,0,0,0,0,0,0,10.8808743,-1.0877501,17,8.62E+14,735926.4922
0,0,0,0,0,0,0,0,10.8808743,-1.0877501,17,8.62E+14,735926.4923
0,0,0,0,0,0,0,0,10.8808744,-1.0877502,96,8.62E+14,735926.4924
0,0,0,0,0,0,0,0,10.8808744,-1.0877502,96,8.62E+14,735926.4925
0,0,0,0,0,0,0,0,10.8808745,-1.0877503,39,8.62E+14,735926.4926
0,0,0,0,0,0,0,0,10.8808745,-1.0877503,39,8.62E+14,735926.4927
0,0,0,0,0,0,0,0,10.8808747,-1.0877505,30,8.62E+14,735926.4929
0,0,0,0,0,0,0,0,10.8808747,-1.0877505,45,8.62E+14,735926.493
0,0,0,0,0,0,0,0,10.8808747,-1.0877505,46,8.62E+14,735926.4931
0,0,0,0,0,0,0,0,10.8808747,-1.0877505,33,8.62E+14,735926.4932
0,0,0,0,0,0,0,0,10.8808747,-1.0877505,96,8.62E+14,735926.4933
0,0,0,0,0,0,0,0,10.8808748,-1.0877505,33,8.62E+14,735926.4935
0,0,0,0,0,0,0,0,10.8808748,-1.0877505,34,8.62E+14,735926.4936
0,0,0,0,0,0,0,0,10.8808748,-1.0877505,96,8.62E+14,735926.4937
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,47,8.62E+14,735926.4938
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,96,8.62E+14,735926.4939
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,31,8.62E+14,735926.494
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,43,8.62E+14,735926.4942
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,41,8.62E+14,735926.4943
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,39,8.62E+14,735926.4944
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,31,8.62E+14,735926.4945
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,43,8.62E+14,735926.4946
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,48,8.62E+14,735926.4947
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,48,8.62E+14,735926.4949
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,43,8.62E+14,735926.495
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,48,8.62E+14,735926.4951
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,29,8.62E+14,735926.4952
0,0,0,0,0,0,0,0,10.8808748,-1.0877506,96,8.62E+14,735926.4953
0,0,0,0,0,0,0,0,10.8808749,-1.0877507,36,8.62E+14,735926.4954
0,0,0,0,0,0,0,0,10.8808749,-1.0877507,30,8.62E+14,735926.4956
0,0,0,0,0,0,0,0,10.880875,-1.0877508,23,8.62E+14,735926.4957
0,0,0,0,0,0,0,0,10.880875,-1.0877508,23,8.62E+14,735926.4958
0,0,0,0,0,0,0,0,10.880875,-1.0877508,26,8.62E+14,735926.4959
